PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_seq=125 ttl=64 time=4.93 ms
64 bytes from 10.0.0.3: icmp_seq=126 ttl=64 time=4.54 ms
64 bytes from 10.0.0.3: icmp_seq=127 ttl=64 time=5.42 ms
64 bytes from 10.0.0.3: icmp_seq=128 ttl=64 time=4.39 ms
64 bytes from 10.0.0.3: icmp_seq=129 ttl=64 time=5.01 ms
64 bytes from 10.0.0.3: icmp_seq=130 ttl=64 time=5.76 ms
64 bytes from 10.0.0.3: icmp_seq=131 ttl=64 time=4.20 ms
64 bytes from 10.0.0.3: icmp_seq=132 ttl=64 time=4.77 ms
64 bytes from 10.0.0.3: icmp_seq=133 ttl=64 time=4.78 ms
64 bytes from 10.0.0.3: icmp_seq=134 ttl=64 time=5.42 ms
64 bytes from 10.0.0.3: icmp_seq=135 ttl=64 time=5.31 ms
64 bytes from 10.0.0.3: icmp_seq=136 ttl=64 time=3.82 ms
64 bytes from 10.0.0.3: icmp_seq=137 ttl=64 time=5.34 ms
64 bytes from 10.0.0.3: icmp_seq=138 ttl=64 time=5.39 ms
64 bytes from 10.0.0.3: icmp_seq=139 ttl=64 time=5.37 ms
64 bytes from 10.0.0.3: icmp_seq=140 ttl=64 time=4.45 ms
64 bytes from 10.0.0.3: icmp_seq=141 ttl=64 time=4.17 ms
64 bytes from 10.0.0.3: icmp_seq=142 ttl=64 time=5.05 ms
64 bytes from 10.0.0.3: icmp_seq=143 ttl=64 time=5.20 ms
64 bytes from 10.0.0.3: icmp_seq=144 ttl=64 time=5.01 ms
64 bytes from 10.0.0.3: icmp_seq=145 ttl=64 time=5.61 ms
64 bytes from 10.0.0.3: icmp_seq=146 ttl=64 time=4.75 ms
64 bytes from 10.0.0.3: icmp_seq=147 ttl=64 time=4.56 ms
64 bytes from 10.0.0.3: icmp_seq=148 ttl=64 time=3.98 ms
64 bytes from 10.0.0.3: icmp_seq=149 ttl=64 time=5.50 ms
64 bytes from 10.0.0.3: icmp_seq=150 ttl=64 time=4.99 ms
64 bytes from 10.0.0.3: icmp_seq=151 ttl=64 time=8.30 ms
64 bytes from 10.0.0.3: icmp_seq=152 ttl=64 time=4.98 ms
64 bytes from 10.0.0.3: icmp_seq=153 ttl=64 time=4.88 ms
64 bytes from 10.0.0.3: icmp_seq=154 ttl=64 time=5.18 ms
64 bytes from 10.0.0.3: icmp_seq=155 ttl=64 time=4.13 ms
64 bytes from 10.0.0.3: icmp_seq=156 ttl=64 time=4.75 ms
64 bytes from 10.0.0.3: icmp_seq=157 ttl=64 time=4.79 ms
